SourceFile,FileName,DateTimeOriginal,GPSPosition,ImageWidth,ImageHeight
P39.jpg,P39.jpg,2026:09:16 08:03:07,"45 deg 30' 12.69"" N, 73 deg 33' 39.07"" W",4032,2268
P40.jpg,P40.jpg,2026:09:16 08:02:09,"45 deg 30' 12.13"" N, 73 deg 33' 37.36"" W",4032,2268
P41.jpg,P41.jpg,2026:09:16 08:02:09,"45 deg 30' 12.11"" N, 73 deg 33' 37.25"" W",4032,2268
P42.jpg,P42.jpg,2026:09:16 07:57:46,"45 deg 30' 5.18"" N, 73 deg 33' 39.34"" W",2268,4032
P43.jpg,P43.jpg,2026:09:16 07:57:31,"45 deg 30' 5.11"" N, 73 deg 33' 39.31"" W",2268,4032
P44.jpg,P44.jpg,2026:09:16 07:57:15,"45 deg 30' 5.14"" N, 73 deg 33' 39.23"" W",3213,5712
P45.jpg,P45.jpg,2026:09:16 07:57:09,"45 deg 30' 3.65"" N, 73 deg 33' 39.43"" W",5712,3213
P46.jpg,P46.jpg,2026:09:16 07:56:43,"45 deg 30' 5.12"" N, 73 deg 33' 38.30"" W",5712,3213
P47.jpg,P47.jpg,2026:09:16 07:56:37,"45 deg 30' 4.33"" N, 73 deg 33' 37.97"" W",3213,5712
